suffix,n
alpha12,77
RC18,77
20171025,77
10-5dc7e0b,77
9-adc1ffd,77
alpha-14,76
ga3,76
m07-1,76
SNAP2,76
alpha16,76
rc.10,76
alpha0,75
b003,75
35,75
49,75
m05-2,75
ga1,75
update17,75
update16,75
update22,75
update20,75
update24,75
update15,75
M1.1,75
alpha-30,74
EA,74
Beta01,74
Beta02,74
alpha17,74
b2016011501,74
custom,74
alpha-31,73
alpha-29,73
alpha-18,73
alpha-33,73
b2015110601,73
alpha-32,72
alpha-24,72
alpha-23,72
beta-9c,72
alpha-34,72
beta-9d,72
RC20,72
m03,72
alpha18,72
rc.20,72
alpha13,72
beta-9b,71
alpha-28,71
m05-1,71
rc.11,71
alpha-26,70
alpha-35,70
jbossorg-1,70
PETALS-0,70
105,70
M4.1,70
m05,68
beta22,68
alpha19,68
SNAP13,68
MF,68
cats,68
10-4311ac9,68
33-2d70b25,68
153,68
21-2f995c1,68
34-24e8714,68
38-e7010a3,68
3-73d5734,68
27-985ecaf,68
15-db11210,68
13-7446d8f,68
11-70bf3f2,68
25-b3b801e,68
24-9251456,68
2-1288b4d,68
17-a9b5ae3,68
39-9db2c21,68
25-233d189,68
14-daf7e0d,68
1-6221cbc,68
31-51763e6,68
17-6c3552c,68
7-f032887,68
26-c8a9dd3,68
5-7191c70,68
7-33b728c,68
20-75e58ac,68
6-c2b03b5,68
22-a5855b7,68
36-efa67ed,68
1-819bc80,68
22-16b9cde,68
18-9876e2e,68
10-a673ea0,68
4-c0cdbaf,68
8-ac754ee,68
9-b0b068a,68
32-3c3d657,68
4-973d84b,68
16-147fdfe,68
14-ad44c9f,68
16-5a4af7b,68
21-05b5d32,68
23-b07c6dc,68
35-b6085be,68
14-037b8eb,68
38-5726e14,68
19-d595c71,68
12-f07633d,68
15-1d378f9,68
milestone5,67
b2015091801,67
scalaz-7.1.6,67
M07,67
164,67
21-df41270,67
48,66
HBase-1.1,66
rc.19,66
65,66
scalaz-7.1.0-M3,66
RC51,66
20180306,66
20180307,66
BETA-1,65
m04,65
M08,65
BETA0,65
FINAL,64
b004,64
beta19,64
alpha22,64
alpha23,64
73,64
okta,64
rc-5,63
m04-1,63
m04-2,63
M26,63
152,62
179,62
cr4,61
174,61
151,61
149,61
145,61
161,61
160,61
169,61
175,61
134,61
rc11,60
RC.2,60
173,60
168,60
20170623193746-58cbe74,60
20170622122021-eeeb976,60
20170623125925-0807b39,60
20170622201057-2a7bf79,60
alpha-16,59
ALPHA-1,59
RC32,59
