Lorg/apache/spark/annotation/DeveloperApi,192
Lorg/jvnet/hk2/annotations/Service,189
Lcom/hazelcast/internal/jmx/ManagedDescription,181
Lcom/hazelcast/internal/jmx/ManagedAnnotation,171
Ljakarta/xml/bind/annotation/XmlAttribute,167
Lorg/springframework/beans/factory/annotation/Autowired,167
Lgroovyjarjarantlr4/v4/runtime/RuleVersion,162
Ljavax/inject/Named,161
Lorg/apache/hadoop/classification/InterfaceAudience$LimitedPrivate,159
Lorg/elasticsearch/common/inject/Inject,157
Lio/reactivex/annotations/Nullable,156
Ljavax/enterprise/context/ApplicationScoped,154
Ljsinterop/annotations/JsType,154
Lcom/google/errorprone/annotations/concurrent/GuardedBy,153
Lorg/weakref/jmx/internal/guava/annotations/VisibleForTesting,153
Ljavax/xml/bind/annotation/XmlSchemaType,151
Lkotlin/jvm/JvmOverloads,148
Lcom/fasterxml/jackson/databind/annotation/JacksonStdImpl,147
Lorg/apache/camel/api/management/ManagedAttribute,144
Lorg/jboss/logging/annotations/MessageLogger,143
Ljavax/xml/bind/annotation/XmlAnyElement,142
Lorg/kuali/rice/krad/datadictionary/parse/BeanTag,140
Lcom/google/gwt/thirdparty/guava/common/annotations/VisibleForTesting,139
Lcom/google/inject/Inject,135
Lorg/apache/http/annotation/NotThreadSafe,134
Lorg/skife/config/Description,131
Lorg/springframework/boot/autoconfigure/condition/ConditionalOnProperty,131
Lorg/skife/config/Config,131
Lorg/springframework/context/annotation/Import,130
Lorg/eclipse/jgit/annotations/NonNull,129
Lorg/mockito/Incubating,129
Lorg/hamcrest/Factory,127
Lorg/jvnet/hk2/config/Element,127
Lorg/springframework/boot/context/properties/EnableConfigurationProperties,127
Lorg/wso2/carbon/config/annotation/Element,126
Lorg/jvnet/hk2/config/Configured,126
Lorg/teiid/translator/TranslatorProperty,126
Lakka/annotation/ApiMayChange,125
Lorg/apache/cxf/common/injection/NoJSR250Annotations,123
Lcom/google/gson/annotations/SerializedName,123
Lorg/jgroups/annotations/Property,123
Lorg/apache/logging/log4j/util/PerformanceSensitive,123
Lorg/skife/config/Default,122
Lcom/sun/xml/txw2/annotation/XmlAttribute,121
Lnet/jcip/annotations/ThreadSafe,119
Lcom/fasterxml/jackson/annotation/JsonCreator,118
Lorg/springframework/boot/autoconfigure/condition/ConditionalOnBean,118
Lorg/glassfish/api/amx/AMXConfigInfo,118
Lorg/jboss/errai/common/client/api/annotations/Portable,118
